algorithm;timed out;problem instance;filename;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1578338405238;GraphColoring.xml;5;3;2;9;0;0.4;0.0;0.3888888888888889;0.0;0;90;84;24996;1355;4;0;0
DPOP;0;graphColoring_1578338406859;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;117;108;31399;1305;4;infinity;infinity
DPOP;0;graphColoring_1578338408452;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;83;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338409764;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;70;16;3808;417;1;0;0
DPOP;0;graphColoring_1578338411152;GraphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;51;28;7165;477;2;0;0
DPOP;0;graphColoring_1578338412169;GraphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;67;44;11091;477;2;0;0
DPOP;0;graphColoring_1578338413422;GraphColoring.xml;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;70;56;14320;475;2;0;0
DPOP;0;graphColoring_1578338414687;GraphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;107;72;19180;682;3;infinity;infinity
DPOP;0;graphColoring_1578338416225;GraphColoring.xml;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;102;88;24709;730;3;0;0
DPOP;0;graphColoring_1578338417899;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;103;108;31344;730;3;0;0
DPOP;0;graphColoring_1578338419472;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;63;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338420703;GraphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;52;16;3804;417;1;0;0
DPOP;0;graphColoring_1578338422097;GraphColoring.xml;3;3;1;5;0;0.4;0.0;0.4;0.0;0;90;32;7623;417;1;0;0
DPOP;0;graphColoring_1578338423668;GraphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;72;45;11141;477;2;0;0
DPOP;0;graphColoring_1578338425112;GraphColoring.xml;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;62;56;14338;477;2;0;0
DPOP;0;graphColoring_1578338426372;GraphColoring.xml;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;92;75;19648;682;3;infinity;infinity
DPOP;0;graphColoring_1578338427777;GraphColoring.xml;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;145;88;24468;730;3;infinity;infinity
DPOP;0;graphColoring_1578338429382;GraphColoring.xml;7;3;1;10;0;0.4;0.0;0.4;0.0;0;135;108;30797;728;3;infinity;infinity
DPOP;0;graphColoring_1578338431125;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;83;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338432428;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;63;16;3808;417;1;0;0
DPOP;0;graphColoring_1578338433842;GraphColoring.xml;3;3;1;5;0;0.4;0.0;0.4;0.0;0;84;32;7623;417;1;0;0
DPOP;0;graphColoring_1578338435240;GraphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;108;45;11137;475;2;0;0
DPOP;0;graphColoring_1578338436754;GraphColoring.xml;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;88;52;13878;477;2;0;0
DPOP;0;graphColoring_1578338438362;GraphColoring.xml;6;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;99;72;19256;477;2;0;0
DPOP;0;graphColoring_1578338439933;GraphColoring.xml;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;110;90;24932;730;3;0;0
DPOP;0;graphColoring_1578338441493;GraphColoring.xml;7;3;2;10;0;0.4;0.0;0.4;0.0;0;80;104;30976;1307;4;infinity;infinity
DPOP;0;graphColoring_1578338443126;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;95;8;1901;417;1;0;0
DPOP;0;graphColoring_1578338444415;GraphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;48;16;3802;417;1;0;0
DPOP;0;graphColoring_1578338445749;GraphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;81;32;7616;417;1;0;0
DPOP;0;graphColoring_1578338447099;GraphColoring.xml;4;3;2;6;0;0.4;0.0;0.4;0.0;0;98;40;10520;475;2;0;0
DPOP;0;graphColoring_1578338448547;GraphColoring.xml;5;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;96;52;13877;477;2;0;0
DPOP;0;graphColoring_1578338450206;GraphColoring.xml;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;124;74;19750;728;3;0;0
DPOP;0;graphColoring_1578338451773;GraphColoring.xml;5;3;2;9;0;0.4;0.0;0.3888888888888889;0.0;0;71;84;24058;728;3;infinity;infinity
DPOP;0;graphColoring_1578338453364;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;114;108;31434;1163;4;infinity;infinity
DPOP;0;graphColoring_1578338454999;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;82;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338456359;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;79;16;3808;417;1;0;0
DPOP;0;graphColoring_1578338457705;GraphColoring.xml;3;3;1;5;0;0.4;0.0;0.4;0.0;0;101;32;7627;417;1;0;0
DPOP;0;graphColoring_1578338459253;GraphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;99;45;11144;475;2;0;0
DPOP;0;graphColoring_1578338460728;GraphColoring.xml;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;101;58;14659;477;2;0;0
DPOP;0;graphColoring_1578338462149;GraphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;118;72;19417;730;3;0;0
DPOP;0;graphColoring_1578338463843;GraphColoring.xml;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;120;88;24245;728;3;infinity;infinity
DPOP;0;graphColoring_1578338465479;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;109;108;33329;1451;4;0;0
DPOP;0;graphColoring_1578338467033;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;85;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338468298;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;65;16;3810;417;1;0;0
DPOP;0;graphColoring_1578338469692;GraphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;62;28;7163;475;2;0;0
DPOP;0;graphColoring_1578338471056;GraphColoring.xml;4;3;2;6;0;0.4;0.0;0.4;0.0;0;92;40;10520;477;2;0;0
DPOP;0;graphColoring_1578338472494;GraphColoring.xml;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;109;58;14777;477;2;0;0
